10000;0;0,0,0|0,0,0||
10001;0;99,98,0|0,0,0||
20000;0;-300,0,0|0,0,0||
20001;0;99,98,0|0,0,0||
30000;0;300,0,0|0,0,0||
30001;0;63,130,0|0,0,0||
20000;18;-349.2857,30.00001,0|||
20000;19;-377.1429,62.14288,0|||
20000;20;-402.8572,102.8571,0|||
20000;21;-409.2857,117.8572,0|||
20000;22;-409.2857,124.2857,0|||
20000;23;-409.2857,126.4286,0|||
10000;36;-70.7143,19.28572,0|||
10000;37;-137.1429,36.42856,0|||
10000;38;-188.5715,49.28574,0|||
10000;39;-190.7143,49.28574,0|||
10000;40;-195,51.42859,0|||
30000;67;278.5714,15.00003,0|||
30000;68;212.1428,68.57143,0|||
30000;69;135,124.2857,0|||
30000;70;70.7143,165,0|||
30000;71;45,180,0|||
30000;72;42.85718,182.1429,0|||
